nll,pi_aa,pi_cc,pi_gg,pi_tt,pi_ac,pi_ag,pi_at,pi_cg,pi_ct,pi_gt,"q_{1,2}","q_{1,3}","q_{1,4}","q_{1,5}","q_{1,6}","q_{1,7}","q_{1,8}","q_{1,9}","q_{1,10}","q_{2,3}","q_{2,4}","q_{2,5}","q_{2,6}","q_{2,7}","q_{2,8}","q_{2,9}","q_{2,10}","q_{3,4}","q_{3,5}","q_{3,6}","q_{3,7}","q_{3,8}","q_{3,9}","q_{3,10}","q_{4,5}","q_{4,6}","q_{4,7}","q_{4,8}","q_{4,9}","q_{4,10}","q_{5,6}","q_{5,7}","q_{5,8}","q_{5,9}","q_{5,10}","q_{6,7}","q_{6,8}","q_{6,9}","q_{6,10}","q_{7,8}","q_{7,9}","q_{7,10}","q_{8,9}","q_{8,10}","q_{9,10}"
-2751.96001,0.08866,0.051082,0.041899,0.088829,0.11484,0.137525,0.151734,0.084486,0.11898,0.121964,0.001,0.001,0.001,5.822778,0.001,19.174151,0.001,0.001,0.001,0.001,0.001,5.822778,0.001,0.001,1.0,18.010902,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.804665,0.001,0.001,19.174151,0.001,18.010902,0.804665,1.0,18.010902,0.001,19.174151,0.001,0.804665,5.822778,0.001,19.174151,0.001,5.822778,0.001,0.804665,18.010902,1.0
-2714.989584,0.084375,0.041472,0.050657,0.093212,0.143742,0.112592,0.169996,0.064411,0.122835,0.116708,0.001,0.001,0.001,1.603504,0.001,4.821295,0.001,0.001,0.001,0.001,0.001,1.603504,0.001,0.001,1.0,5.072234,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.83445,0.001,0.001,4.821295,0.001,5.072234,0.83445,1.0,5.072234,0.001,4.821295,0.001,0.83445,1.603504,0.001,4.821295,0.001,1.603504,0.001,0.83445,5.072234,1.0
-2697.084557,0.083363,0.043259,0.043639,0.11444,0.100699,0.121846,0.160602,0.080168,0.124166,0.127819,0.001,0.001,0.001,1.647775,0.263136,3.275042,0.001,0.001,0.001,0.001,0.001,1.647775,0.001,0.001,1.0,5.591521,0.001,0.001,0.001,0.263136,0.001,1.0,0.001,0.694398,0.001,0.001,3.275042,0.001,5.591521,0.694398,1.0,5.591521,0.263136,3.275042,0.001,0.694398,1.647775,0.001,3.275042,0.001,1.647775,0.263136,0.694398,5.591521,1.0
-2748.67073,0.094345,0.053893,0.03952,0.097134,0.103869,0.120498,0.172553,0.084508,0.103662,0.130018,0.001,0.001,0.001,1.578909,0.001,2.878705,0.001,0.001,0.001,0.001,0.001,1.578909,0.001,0.001,1.0,4.02724,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.899983,0.001,0.001,2.878705,0.001,4.02724,0.899983,1.0,4.02724,0.001,2.878705,0.001,0.899983,1.578909,0.001,2.878705,0.001,1.578909,0.001,0.899983,4.02724,1.0
-2641.333354,0.08222,0.044323,0.040799,0.097012,0.113333,0.119645,0.178308,0.077924,0.126142,0.120294,0.001,0.001,0.001,2.703102,0.397177,4.701866,0.001,0.001,0.001,0.001,0.001,2.703102,0.001,0.001,1.0,7.518555,0.001,0.001,0.001,0.397177,0.001,1.0,0.001,0.373019,0.001,0.001,4.701866,0.001,7.518555,0.373019,1.0,7.518555,0.397177,4.701866,0.001,0.373019,2.703102,0.001,4.701866,0.001,2.703102,0.397177,0.373019,7.518555,1.0
-2686.758617,0.086447,0.042807,0.036533,0.09574,0.129391,0.129748,0.163892,0.07897,0.103943,0.132531,0.001,0.001,0.001,1.2596,0.001,3.503891,0.001,0.001,0.001,0.001,0.001,1.2596,0.001,0.001,1.0,2.588494,0.001,0.001,0.001,0.001,0.001,1.0,0.001,1.181987,0.001,0.001,3.503891,0.001,2.588494,1.181987,1.0,2.588494,0.001,3.503891,0.001,1.181987,1.2596,0.001,3.503891,0.001,1.2596,0.001,1.181987,2.588494,1.0
-2696.00537,0.076707,0.034337,0.050536,0.090481,0.116889,0.112953,0.148953,0.097045,0.137814,0.134286,0.001,0.001,0.001,2.096695,0.001,3.547647,0.001,0.001,0.001,0.001,0.001,2.096695,0.001,0.001,1.0,6.731225,0.001,0.001,0.001,0.001,0.001,1.0,0.001,1.086474,0.001,0.001,3.547647,0.001,6.731225,1.086474,1.0,6.731225,0.001,3.547647,0.001,1.086474,2.096695,0.001,3.547647,0.001,2.096695,0.001,1.086474,6.731225,1.0
-2745.170173,0.083456,0.033686,0.048458,0.0928,0.123665,0.124412,0.16619,0.077199,0.118272,0.131864,0.001,0.001,0.001,1.714763,0.261835,4.755813,0.001,0.001,0.001,0.001,0.001,1.714763,0.001,0.001,1.0,5.705985,0.001,0.001,0.001,0.261835,0.001,1.0,0.001,1.287701,0.001,0.001,4.755813,0.001,5.705985,1.287701,1.0,5.705985,0.261835,4.755813,0.001,1.287701,1.714763,0.001,4.755813,0.001,1.714763,0.261835,1.287701,5.705985,1.0
-2617.948531,0.074843,0.0347,0.043515,0.082017,0.126985,0.130029,0.178656,0.080504,0.1281,0.120651,0.001,0.001,0.001,1.360302,0.82224,2.575755,0.001,0.001,0.001,0.001,0.001,1.360302,0.001,0.001,1.0,5.430301,0.001,0.001,0.001,0.82224,0.001,1.0,0.001,0.797831,0.001,0.001,2.575755,0.001,5.430301,0.797831,1.0,5.430301,0.82224,2.575755,0.001,0.797831,1.360302,0.001,2.575755,0.001,1.360302,0.82224,0.797831,5.430301,1.0
-2756.641413,0.091516,0.044514,0.045331,0.093538,0.132645,0.121415,0.156292,0.073625,0.119447,0.121678,0.001,0.001,0.001,0.542933,0.54978,5.008503,0.001,0.001,0.001,0.001,0.001,0.542933,0.001,0.001,1.0,5.657965,0.001,0.001,0.001,0.54978,0.001,1.0,0.001,1.953367,0.001,0.001,5.008503,0.001,5.657965,1.953367,1.0,5.657965,0.54978,5.008503,0.001,1.953367,0.542933,0.001,5.008503,0.001,0.542933,0.54978,1.953367,5.657965,1.0
