nll,pi_aa,pi_ac,pi_ag,pi_at,pi_ca,pi_cc,pi_cg,pi_ct,pi_ga,pi_gc,pi_gg,pi_gt,pi_ta,pi_tc,pi_tg,pi_tt,s_0,s_1,s_2,s_3,s_4,s_5
35320.69240123857,0.08604,0.05608,0.069,0.08994,0.05603,0.04994,0.04198,0.06202,0.07,0.04197,0.04101,0.06399,0.06992,0.05604,0.05702,0.08902,5.253278749764322,0.44969241922613074,0.0,0.0,1.987940378663249,0.5916314906222377
39475.34319980527,0.08305,0.07801,0.065,0.08801,0.0659,0.04197,0.02802,0.06501,0.04999,0.03403,0.05096,0.066,0.08112,0.05499,0.053,0.09494,5.685556009335521,0.6059853070390753,0.0,0.0,1.9259424565037648,0.0
33845.49233733993,0.083,0.04303,0.07099,0.094,0.05203,0.04102,0.04602,0.06195,0.05297,0.032,0.043,0.062,0.07201,0.06298,0.06599,0.11701,6.292359036475221,0.0,0.0,0.3615500177582906,1.3895593313098946,1.0319273648283795
36028.445162885044,0.09302,0.04602,0.06602,0.08702,0.05897,0.05099,0.04701,0.059,0.05401,0.039,0.04,0.06497,0.08602,0.04398,0.068,0.09597,5.794622451576287,0.5548016531297417,0.0,0.22261298580777053,2.047118797726487,0.0
35538.15543807145,0.08102,0.05701,0.06099,0.096,0.05799,0.04302,0.03496,0.06202,0.06003,0.04203,0.04002,0.05496,0.08097,0.06597,0.06503,0.09798,5.059969889514267,0.0,0.0,0.0,2.4271299085854148,0.8365312298390799
39673.048776988224,0.08392,0.06195,0.06607,0.08488,0.07006,0.04299,0.035,0.04697,0.06101,0.041,0.03601,0.06699,0.08306,0.05803,0.06596,0.0961,4.381679180161916,0.2625224271069117,0.18115543851172375,0.41685397531322216,1.3148592811588704,1.844739889195866
37908.94418471201,0.076,0.065,0.05398,0.08302,0.05393,0.03002,0.05403,0.07591,0.05804,0.042,0.05099,0.066,0.0691,0.06495,0.06702,0.09001,5.069812515704213,0.589786232000227,0.0,0.23261684552185177,2.097680587647442,0.5980065093106836
38601.447287960844,0.07808,0.05905,0.059,0.08594,0.06601,0.03396,0.03807,0.05298,0.06498,0.03501,0.04898,0.06902,0.08492,0.06796,0.06203,0.09401,5.209128596467508,0.7613979634780125,0.0,0.19137977835311218,1.1818354503799384,1.3096712922827818
37711.217606359576,0.07494,0.06093,0.07295,0.08109,0.06999,0.03402,0.036,0.06198,0.05703,0.044,0.043,0.061,0.09406,0.06799,0.05902,0.082,5.274427374245905,0.7238630994686419,0.0,0.0,1.5159136543529743,0.793919049365169
37847.43731687751,0.08902,0.06902,0.052,0.07292,0.06401,0.044,0.02902,0.06001,0.07196,0.04201,0.04499,0.06008,0.08798,0.06195,0.05798,0.09305,5.840928067440578,0.24224784282352502,0.0,0.0,1.3578497552678999,0.7214863814625977
39449.82936625114,0.07596,0.06793,0.05906,0.07502,0.06598,0.04302,0.05,0.05502,0.056,0.04105,0.03199,0.06097,0.08899,0.06104,0.06796,0.10001,5.886646091479202,0.8761167344569865,0.0,0.19994073937028478,1.3392221517927747,0.0
37617.48099764809,0.08103,0.06297,0.06699,0.10198,0.05605,0.04098,0.031,0.05397,0.065,0.04296,0.035,0.06706,0.08194,0.06709,0.063,0.08298,4.848262426312291,0.9534925548632479,0.0,0.0,1.7767934397734875,0.8190203317830219
35122.07341101378,0.07,0.05598,0.05299,0.09103,0.06892,0.05692,0.03899,0.05605,0.07496,0.04006,0.039,0.05099,0.07809,0.0711,0.05599,0.09893,4.3283821866984535,1.1520690122327326,0.0,0.240293965758058,1.2556848058147139,1.2146000381910858
39140.62314733793,0.07601,0.068,0.068,0.08094,0.05894,0.03506,0.031,0.06204,0.05403,0.049,0.035,0.065,0.11092,0.05501,0.06796,0.08309,4.550561747308833,0.2365601205741371,0.14310972228297186,0.0,1.9312132431480153,1.4846058976939263
33106.53669279547,0.08997,0.05396,0.06198,0.07604,0.06,0.04898,0.03999,0.05295,0.07202,0.04299,0.04,0.04802,0.09798,0.05702,0.054,0.1041,4.853775482575086,0.20635600609544533,0.0,0.15388165553468638,2.0603268987149947,1.0420141348954433
40030.739180799676,0.08299,0.06804,0.05702,0.08094,0.07407,0.04196,0.04198,0.05703,0.06001,0.03397,0.047,0.06603,0.08596,0.06296,0.059,0.08104,4.883306729176735,0.5683234556948887,0.0,0.19941209266678003,1.901054110618407,0.6187441729620343
37140.09793392539,0.07602,0.04501,0.05999,0.09597,0.07102,0.03608,0.05097,0.06295,0.05601,0.043,0.04197,0.06803,0.08391,0.06399,0.06201,0.08307,5.589665872026032,1.037250428719583e-10,1.037250428719583e-10,0.19506489573727379,1.3470924815328094,1.34663026780138
39866.969339002,0.08502,0.05798,0.046,0.08001,0.07403,0.03997,0.04299,0.06496,0.06,0.045,0.05099,0.07301,0.07496,0.04901,0.06102,0.09505,4.760379465516712,9.999981478048576e-11,9.999981478048576e-11,9.999981478048576e-11,2.3904285925672837,1.191460405191123
34495.76458648914,0.09203,0.05602,0.04996,0.07901,0.05003,0.04298,0.04203,0.05993,0.061,0.04702,0.04297,0.04901,0.08495,0.059,0.071,0.11306,5.029501539714052,0.7689785087263808,0.0,0.39152258535542744,2.4774765488716897,0.0
35583.51671471549,0.07899,0.067,0.06101,0.09201,0.05698,0.04197,0.04302,0.05898,0.06201,0.04804,0.04896,0.04997,0.09304,0.046,0.06003,0.09199,5.683498610496135,0.4918956648301932,0.0,0.1960014775093707,2.074696558102848,0.0
35301.08950119082,0.09195,0.0641,0.06499,0.09092,0.04904,0.03892,0.0351,0.05695,0.05799,0.04814,0.04596,0.04903,0.08805,0.05803,0.06991,0.09092,6.058724690613453,0.5330188184228849,0.0,0.6537194123415687,1.5046047320852336,0.0
36558.06687966047,0.09505,0.06202,0.05101,0.099,0.05804,0.04506,0.02302,0.05298,0.06601,0.047,0.034,0.06497,0.08694,0.0539,0.057,0.104,5.406666643816629,0.3516209102822943,0.0,0.28250074424641075,1.7884963303086348,0.6950593127195299
39375.27805478987,0.09399,0.06498,0.04801,0.08398,0.06303,0.04302,0.03214,0.05304,0.06699,0.03614,0.04811,0.06387,0.09301,0.05197,0.07073,0.08699,5.431261605671375,0.3976938200763396,0.0,0.5586875403222915,1.4436679156378092,0.8218104742619714
36536.010258969414,0.09207,0.05802,0.06101,0.09,0.05501,0.04901,0.04101,0.05795,0.06897,0.03694,0.02801,0.06105,0.08997,0.05602,0.06699,0.08797,4.667117351428547,0.2529001591560613,0.0,0.21044458573642616,1.946655738022881,1.2617249653124396
36509.30488040195,0.08095,0.06303,0.06699,0.07994,0.05029,0.04394,0.04198,0.05503,0.06102,0.04,0.04103,0.05798,0.08573,0.06309,0.07005,0.09895,6.205753086840221,0.3182923428662696,0.0,0.0,2.072753386203049,0.0
37046.012161503066,0.08202,0.06302,0.054,0.084,0.06496,0.04299,0.04798,0.06631,0.06197,0.039,0.03001,0.06198,0.09704,0.06206,0.05603,0.08663,5.773113342169508,0.4582076184497326,0.0,0.0,1.6957237364429656,0.0
37225.38249969169,0.07908,0.05409,0.055,0.08083,0.06199,0.04299,0.04101,0.05625,0.07297,0.04702,0.05699,0.07897,0.07393,0.05408,0.052,0.0928,5.804233798610019,0.9766849472626635,0.22674364890644969,0.24631557210016872,1.442019117920727,0.0
35005.66370388124,0.08303,0.05796,0.05799,0.084,0.06199,0.03229,0.04195,0.05889,0.05798,0.03501,0.05402,0.0531,0.09899,0.06173,0.05708,0.10399,3.8877756377072474,0.454990798080935,0.14232155135474073,0.0,2.0594073864349336,1.8796497957585798
35117.396858500986,0.08001,0.05103,0.06197,0.09202,0.05804,0.03099,0.03602,0.06706,0.06698,0.03201,0.045,0.06101,0.08094,0.062,0.06101,0.11391,4.9120666040021375,0.6323790083808425,1.0354808214158822e-10,1.0354808214158822e-10,1.9936362457632315,1.2802751403496382
35366.29301848654,0.083,0.05899,0.05899,0.09906,0.06294,0.04996,0.03599,0.05906,0.04599,0.05093,0.04802,0.05808,0.09501,0.05601,0.05302,0.08495,5.799423551340886,0.31863245322433664,1.0391544751959354e-10,1.0391544751959354e-10,1.9292523040860459,1.0391544751959354e-10
35455.184659950035,0.08302,0.06301,0.05601,0.09493,0.04998,0.046,0.03301,0.07192,0.06101,0.04699,0.049,0.06008,0.086,0.05503,0.06096,0.08305,5.501736893300156,0.3571540593988873,0.0,0.0,2.47479424626426,0.0
36001.631235261826,0.08797,0.05696,0.06799,0.07909,0.06701,0.04099,0.04992,0.04803,0.05797,0.04701,0.04698,0.05101,0.09393,0.05807,0.06319,0.08388,4.950928234277639,0.8439804319706976,0.0,0.0,2.481688691204512,0.0
35622.18976613369,0.084,0.05196,0.05804,0.09494,0.05402,0.03698,0.03301,0.05604,0.06885,0.04001,0.03409,0.06902,0.10799,0.05704,0.05899,0.09502,5.230557185955858,0.8538259330196767,0.0,0.18496967805894524,1.6874059734915712,0.8811922936926594
36745.83000023081,0.09397,0.05794,0.062,0.08105,0.05984,0.04103,0.04617,0.04496,0.062,0.03701,0.04194,0.05597,0.08007,0.05804,0.06901,0.109,5.41700083147581,0.6684325743642837,1.2794406270058892e-10,1.2794406270058892e-10,1.9398505071014907,0.5764283764451228
36862.306002753954,0.08004,0.06598,0.05901,0.08408,0.06492,0.04899,0.04396,0.05096,0.04795,0.04205,0.05397,0.05101,0.08401,0.06199,0.06203,0.09905,5.543245052537798,0.5484063810230881,0.0,0.22038312857565082,1.9342722793166645,7.63158093830893e-08
35959.19172013532,0.06303,0.04901,0.05601,0.08795,0.04698,0.04903,0.04806,0.06794,0.05901,0.03099,0.04395,0.07604,0.08702,0.06599,0.06501,0.10398,6.254505834075645,0.0,0.0,0.17909722797214397,1.2935704067023437,1.1470045957120703
36573.87707273184,0.08695,0.06203,0.06801,0.08398,0.05413,0.03998,0.03201,0.043,0.05996,0.03707,0.05598,0.05794,0.08195,0.06501,0.068,0.104,6.9362715874772,0.4383493235932765,0.0,0.294253209689931,1.4511048513355895,1.489176617320368e-07
35578.46400690719,0.09196,0.05501,0.07097,0.09012,0.05606,0.02799,0.028,0.06299,0.06402,0.03606,0.05002,0.06593,0.09695,0.05805,0.057,0.08887,6.635207736990265,0.95505644505777,0.0,0.0,1.4437056173604077,0.0
36418.46141543178,0.09403,0.06202,0.071,0.08794,0.05702,0.04102,0.03902,0.051,0.05802,0.04799,0.04401,0.05599,0.08299,0.05596,0.06698,0.08501,4.707652827488468,1.279678298367699,0.0,0.0,2.3913518357318355,0.0
34543.12372623889,0.10396,0.06298,0.068,0.08202,0.06101,0.05096,0.03603,0.05904,0.065,0.06095,0.02101,0.04705,0.08602,0.04804,0.05699,0.09094,5.02585119823572,0.6389437925658972,0.0,0.0,1.9903760670774862,0.0
35842.2658461003,0.06899,0.06397,0.05301,0.09507,0.05902,0.045,0.04599,0.06298,0.068,0.03798,0.04702,0.06401,0.096,0.05999,0.05101,0.08196,5.399649935349854,0.0,0.0,0.0,2.8136347761195344,0.0
40105.33631117751,0.08709,0.06294,0.05999,0.07902,0.06406,0.03798,0.044,0.05094,0.05401,0.042,0.04899,0.06701,0.08988,0.05106,0.07403,0.087,5.65445711756546,0.0,0.0,0.23963495831126969,1.9714075897746284,0.8398979654488105
36685.095985872016,0.07802,0.05397,0.05912,0.08597,0.05496,0.041,0.051,0.05802,0.06199,0.04104,0.04101,0.06298,0.07001,0.06803,0.07189,0.10099,5.654243759888884,0.3606009268482673,0.0,0.23670301604819388,1.491437967955703,0.9136088933533898
36337.48749755875,0.07309,0.05306,0.07403,0.10094,0.05897,0.03606,0.03601,0.05398,0.06099,0.04797,0.05401,0.06203,0.07797,0.0469,0.06599,0.098,6.265254384998423,0.30815919917515766,0.0,0.0,2.6794686808901726,0.0
35757.17279750264,0.09008,0.05702,0.06403,0.06698,0.05,0.047,0.05,0.06497,0.05401,0.04499,0.03501,0.06001,0.08089,0.07094,0.07,0.09407,5.276640466824831,1.0476941544989426e-10,1.0476941544989426e-10,1.0476941544989426e-10,1.4548752156404041,1.4527963172565126
40444.46943115461,0.07501,0.06395,0.05495,0.07507,0.06902,0.033,0.041,0.06795,0.05901,0.036,0.04001,0.06499,0.094,0.05103,0.07304,0.10197,6.794072580793466,0.443777000940557,1.037274659520599e-10,1.037274659520599e-10,1.5209396806380693,3.314814585074846e-10
34638.17314110986,0.103,0.055,0.06297,0.08802,0.05799,0.04301,0.04496,0.06301,0.048,0.04601,0.04001,0.05398,0.08703,0.04801,0.06305,0.09595,4.943949021758895,1.0274243551161794e-10,1.0274243551161794e-10,1.0274243551161794e-10,1.9927307529004132,1.369415034618324
37998.55510317291,0.07699,0.04799,0.04404,0.07802,0.06405,0.04901,0.04598,0.05702,0.05699,0.04702,0.03199,0.06598,0.09101,0.06398,0.07499,0.10494,5.698457561191214,0.36492187395009534,0.0,0.0,2.305310174717743,0.0
37414.741444204345,0.07903,0.06401,0.06603,0.07,0.06596,0.047,0.04001,0.05203,0.05201,0.04992,0.042,0.06104,0.10699,0.05307,0.05695,0.09395,4.7874858913089025,1.2847998341767135,0.0,0.2034575837777523,1.433349763704584,0.5609905218183905
36065.91273445545,0.07697,0.05803,0.05299,0.08995,0.04804,0.05096,0.04597,0.05206,0.05996,0.04402,0.046,0.06898,0.08702,0.05703,0.06303,0.09899,5.973114466749426,0.3591725533950182,9.999999999968729e-11,0.5959419910603369,1.8939398256430446,9.999999999968729e-11
36958.08273211978,0.08297,0.05802,0.06401,0.084,0.06497,0.04303,0.04802,0.04999,0.06499,0.04896,0.04199,0.06506,0.08697,0.06598,0.05699,0.07405,5.953562258752955,0.0,0.0,0.25882371636731116,2.013084501612914,0.0
36975.5905817931,0.08301,0.05403,0.06201,0.08799,0.05197,0.03699,0.04098,0.05099,0.06096,0.04599,0.049,0.07104,0.08097,0.06305,0.06801,0.09301,4.8594578121011285,0.32097485550161065,0.0,0.0,2.148450335178873,1.388001336648319
35818.26635951122,0.10003,0.056,0.05401,0.08304,0.04895,0.04301,0.04598,0.04909,0.06697,0.03403,0.04599,0.061,0.09498,0.05997,0.07002,0.08693,5.836723632481376,0.6578202972025613,0.0,0.4506752214630355,1.8629690374773074,0.0
35694.44348302715,0.083,0.06302,0.074,0.08498,0.05901,0.03899,0.03697,0.06503,0.05497,0.04001,0.03502,0.05602,0.10895,0.059,0.05718,0.08385,5.448203480842715,0.9917767045495878,0.0,0.48149500725556316,1.47511336285379,0.0
33729.87457102852,0.098,0.06099,0.05798,0.09406,0.05507,0.04001,0.04601,0.05799,0.05499,0.03599,0.04599,0.04601,0.08996,0.06595,0.06001,0.09099,5.3928570406107825,0.7286803671805078,0.0,0.0,2.1084386518723353,0.0
37950.13611435923,0.06902,0.05601,0.046,0.09197,0.05804,0.04396,0.05599,0.05099,0.06196,0.04602,0.046,0.07804,0.09893,0.05197,0.06101,0.08409,6.250156219391713,0.42142647426042507,0.0,0.0,2.0289410426087247,0.0
35345.41327243585,0.09386,0.05203,0.07301,0.09904,0.04802,0.04104,0.03801,0.06195,0.06301,0.03902,0.034,0.06798,0.07407,0.04796,0.06497,0.10203,4.747116578622341,0.4721653645673281,0.0,0.2259996891193921,2.1495226509008334,1.2120493031339528
31874.995928146873,0.08299,0.04703,0.06198,0.09593,0.05694,0.03805,0.04707,0.05305,0.06498,0.04198,0.04599,0.05302,0.10407,0.05603,0.04999,0.1009,4.725666174802615,0.6855342631823205,0.0,0.22126379565351842,2.186274760724435,0.8838558715528659
35291.05001922093,0.09903,0.06897,0.05202,0.09002,0.04897,0.03705,0.03901,0.03802,0.06301,0.05801,0.04399,0.05399,0.085,0.06201,0.06102,0.09988,6.1651928511000795,0.7854582857722134,1.0294238311723634e-10,1.0294238311723634e-10,1.5191221407611166,1.0294238311723634e-10
34527.11895361008,0.08802,0.05099,0.06498,0.08596,0.06195,0.03202,0.04201,0.06099,0.061,0.05097,0.04601,0.05803,0.07604,0.07298,0.05705,0.091,6.652583624690008,0.4204870489687161,0.0,0.0,1.4453800057414723,0.0
