nll,pi_aa,pi_cc,pi_gg,pi_tt,pi_ac,pi_ag,pi_at,pi_cg,pi_ct,pi_gt,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23
27427.763292139687,0.08561,0.038713,0.041,0.091537,0.11441399999999999,0.121315,0.177566,0.08446100000000001,0.126098,0.119286,1.7465308914714528,0.18251421592557032,7.936280594594335,3.3438062082324325,1.7191095968725143,13.026466431649515,0.3688838596494331,2.700598836859626,3.447602732736839,7.911282720315548,8.3922709502007,1.5735024545827727,0.8202769632038106,6.52993286474714,0.19699811204630374,6.421955243983506,1.4970366645147504,2.0279618400264856,5.913369239046386,1.5187436216567,0.26639942041118136,0.8880699305511162,7.122098152066182,0.5038498352548035
27146.487471199103,0.08676,0.035208,0.036609,0.089918,0.119113,0.124799,0.18184699999999998,0.08418400000000001,0.120367,0.121195,2.855434534154307,0.362530803793061,6.9955939104261535,6.6566451787472465,3.130510350958727,14.044532959815141,1.2541292401667195,1.9287675654428391,3.1048258838448843,6.276389578513936,8.914043260718707,0.7230277958833364,1.3222429040518926,5.272312949766286,0.19833942809082342,6.599471253197643,0.9601351762143926,1.8672292184559125,5.074428595662151,1.447594616178383,0.09059262652272945,1.7653027975234206,10.696724985024549,1.2148703564869292
27386.025949345698,0.088189,0.038837,0.043892,0.090944,0.11941299999999999,0.122883,0.180859,0.07953199999999999,0.123851,0.1116,2.196925421831061,0.7192816178315945,8.101312700588709,8.90858330456025,0.6082790390811876,13.567078102483515,0.7155944431119106,6.212691757073258,3.115670918216084,6.586479111532027,9.620239896416155,1.9071346148166537,0.9166101650229572,4.843999625646322,0.20569212448635948,4.591162834371846,1.1365551242952074,2.7844088326103056,6.194154641764436,0.9524636579549787,0.47862748617914247,1.7708763511130763,7.364711806184444,1.1144947765843471
27250.179675382737,0.087504,0.039623,0.043011,0.088308,0.11962500000000001,0.12301200000000001,0.173007,0.08141,0.121777,0.122723,3.819788466720531,0.543494258198268,6.057820948635587,2.08971973532247,2.4101611691931235,12.362721729852455,0.7526920815188931,2.687392888160551,3.2488788273229523,6.923452484288076,9.866782740353829,1.8282175836363617,0.8135794113697196,6.807851786951022,0.6125227870269607,6.821591689438122,1.135497728771726,1.0140280356007245,6.9598306695700884,1.4191992845551566,0.18180839950430178,0.8136088948113394,5.9810215241093285,1.5866275146313187
27455.775812693042,0.08625,0.04249,0.045505,0.091847,0.125085,0.117919,0.169145,0.083026,0.115868,0.122865,5.390675745696773,0.19365457203072567,9.549535377596246,3.5654864064241276,3.853650371907651,13.453909625299769,1.0855196086186543,2.030734197700242,2.0366493449364627,5.903048100213985,11.051208545720378,1.8683242815154526,0.7898452301383876,4.510062987707997,1.0002768637190017e-10,5.22503829206836,1.162573494002194,2.1703367054847025,5.075919225207548,1.9824216350536525,0.4680662198398092,1.0100749973059246,7.432616134276227,0.8147518613515525
27635.443094494633,0.084442,0.040919,0.041807,0.092824,0.116882,0.122814,0.182976,0.080267,0.111451,0.125618,3.1255310276376993,0.1767576296927376,7.483690072666045,5.620184359779559,3.8573569965890506,10.975692286075926,0.7121725795087687,2.151650103082671,1.3767607805093252,8.530437961005477,10.065385313895494,2.1810656285205434,1.1353958762405696,4.814139666726751,1.000127036976254e-10,4.598662005446575,0.8080120731419226,2.2002499842767285,6.489743511403735,1.4183997300938758,0.15785513759571576,2.0281813577921937,7.901662214809414,1.4307767677644894
27383.33424123422,0.086406,0.0427,0.047202,0.094299,0.119089,0.119786,0.17100100000000001,0.081707,0.119047,0.11876300000000001,2.6778506237836757,0.7603119319501916,8.172498144390238,5.111400367907344,2.801574889705475,13.047742611481917,1.0368168404112497,2.046190983168872,2.109485794129627,7.517846621007741,7.717141413818321,1.9442714707717526,0.964138294811428,4.844024352813599,0.3994819495420439,6.803672229859194,0.8645660005048568,2.404861726618053,5.537033755115732,1.6413930318959347,0.29012252949662976,2.838069489538974,7.131001960952757,1.2481932150668893
27452.781288772785,0.085326,0.040585,0.039902,0.08412,0.118253,0.123944,0.172513,0.083604,0.122802,0.128951,1.4625880518607632,0.17146859525840777,6.881535680623882,4.249176821340153,3.2807898359643377,16.30595547486597,9.996256041622024e-11,2.1896566460737468,1.7625091711163825,8.024372928186056,9.482741682552899,1.7275825194954466,1.7848907508685163,6.693628653911677,9.996256041622024e-11,5.715908965141473,0.8763339156486476,0.7311543222898523,3.999187463305162,1.5932111772233346,0.16984335452788238,1.9900813068432885,9.07736489505155,1.771365693343527
27219.20731946318,0.089228,0.039327,0.042095,0.090276,0.122679,0.12240100000000001,0.17689300000000002,0.07902,0.120396,0.117685,3.2505507630397354,0.3615065215750094,7.942460663386417,6.236445133750745,2.4600107079150195,13.515164624424818,0.3861383723071888,2.292755862848624,3.602441736851428,8.706341422071523,10.5160503079317,1.1177969348662167,1.325467021392273,5.697567169704181,0.40461691770423897,4.86645971954934,0.7311986540630936,2.238292830410513,3.430307411699734,1.109644696554514,0.18853842206349417,0.8325350338738956,9.162750357370866,0.9730576022571974
27029.105302060532,0.087688,0.039801,0.045801,0.087072,0.11523800000000001,0.128222,0.180969,0.08312,0.112758,0.11933099999999999,1.8424609359247497,0.9164918741952275,7.978092052111849,1.3636151857550498,1.0006543402072737e-10,15.066316285327906,0.6963731606661541,2.1872208439620344,2.2587855938122923,8.138321491331764,10.36281438835312,3.2041649339868603,0.9810093169373928,4.966884022707857,1.0006543402072737e-10,6.375319646843025,1.2470615788252757,1.9555050572685988,6.228250010502353,1.7224434006636165,0.19160794647715015,1.317219432250239,6.887144061193671,1.2360431700168752
27517.651714566848,0.087355,0.039328,0.043503,0.092846,0.118297,0.125378,0.16756,0.084085,0.11852499999999999,0.123123,2.5541969490048753,0.516727261849483,8.74473565598447,5.675018990194404,3.957566018811824,16.09840245136869,0.6983230053634796,1.5622866509381448,1.7749741026127412,8.447712215412393,11.249670302007557,2.14027587666459,1.018710376975434,4.76121567694164,1.0010166061883628e-10,4.447326687784267,0.9887298165612787,3.385871445187557,5.022480044440739,1.32249873046884,0.18539487203200175,1.5211400881478756,5.836421873629563,1.040599482799875
27357.318394969883,0.088402,0.0396,0.046501,0.088126,0.120972,0.12262,0.173493,0.081093,0.116991,0.122202,3.4526101702638146,0.17855583543690623,8.08588445338187,2.851737782309618,1.7877398914006812,13.199016855054523,1.0003254049581309e-10,1.0376882453289664,4.393472383387408,7.160438000901779,11.152753869502096,2.00107636730522,0.7864657093171994,4.930488507960123,1.0003254049581309e-10,6.218747329104032,2.018412824846359,1.7551651319924633,4.400722654752087,1.4295468131557123,0.09137444804333616,1.63888700047549,8.910087134437754,1.2167714690499134
27390.092470751086,0.081311,0.040506,0.041302,0.092996,0.10772899999999999,0.12911299999999998,0.17708800000000002,0.08868200000000001,0.120171,0.121102,2.8476742641066353,0.35302565975001426,8.060573195388928,3.908266659461639,1.6139255290558963,18.7146629330711,0.3566560797391816,1.0003688049596018e-10,3.0746517065898864,6.791011617212589,9.316420282859221,2.5301260970641466,1.2310464642803545,5.8371101523227455,0.20430562447578204,7.095293765484183,0.8439442237111996,2.3017007297928846,5.060908531116327,0.6262499036696009,0.18010161315225529,1.7823659303403185,6.680383607050799,1.6910549970989752
27312.59914664921,0.088332,0.037812,0.044491,0.094516,0.121023,0.1175,0.169769,0.078225,0.12085199999999999,0.12747999999999998,2.190827681122227,0.5559081276578892,8.39838150979992,2.9682357967385182,4.013928659862737,14.514665445812929,1.1319696031131163,5.044846935598166,1.3810273929584345,8.167593833084702,10.17193832502855,1.6154922145978003,1.9298350845574483,5.143349273761905,1.0008565694287512e-10,4.285534995577252,1.0817974960124843,3.4048976664282096,4.868506519294389,1.5296227401920353,1.0008565694287512e-10,1.0240270847498387,7.893253753192015,0.8888015237656086
27191.199175614543,0.086387,0.043568,0.042896,0.089827,0.11229800000000001,0.121081,0.179581,0.086401,0.112557,0.125404,4.410812729333296,0.1935065647654301,8.993816742422835,5.321487282243469,2.6481540918364774,14.389071148477269,0.7730669260014852,2.6868111443345883,1.4909822749018975,7.4935178258593025,9.91589607569757,2.3380406077516196,0.7395767825109065,5.987733576212367,0.20578994435134304,5.117606984108411,0.8393726690950852,2.1240489362686517,4.508833975777795,1.4916255390030322,0.35902767211920666,1.035906099156574,6.344329364144286,1.1442397772913702
